2025-09-29T21:50:37.947Z [INFO] [SharedStateManager] Persistence not configured. 
2025-09-29T21:50:37.959Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:50:37.959Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.78891f0b-d09d-4f8b-8730-3088d922a1a6"}
2025-09-29T21:50:37.959Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.78891f0b-d09d-4f8b-8730-3088d922a1a6"}
2025-09-29T21:50:37.959Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.aafbb067-403e-4798-b5db-d42663faaba3"}
2025-09-29T21:50:37.959Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.14cc6f73-f302-46cc-8c7e-4905db917392"}
2025-09-29T21:50:37.959Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.1fdc6d04-3ed7-43e4-a260-a4a8d91486f1"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.aafbb067-403e-4798-b5db-d42663faaba3"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.aafbb067-403e-4798-b5db-d42663faaba3"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.aafbb067-403e-4798-b5db-d42663faaba3"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.14cc6f73-f302-46cc-8c7e-4905db917392"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.14cc6f73-f302-46cc-8c7e-4905db917392"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.14cc6f73-f302-46cc-8c7e-4905db917392"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"test.value"}
